Depth	SPOT	ALOHAJuly
118	0	1.0312
119	0	1.0312
120	0	0.9455
121	0	0.9009
122	0	0.904
123	0	0.8988
124	0	0.8042
125	0	0.8042
126	0	0.8704
127	0	0.842
128	0	0.842
129	0	0.7664
130	0	0.7097
131	0	0.7538
132	0	0.7664
133	0	0.6907
134	0	0.6529
135	0	0.7286
136	0	0.6907
137	0	0.6529
138	0	0.6529
139	0	0.5774
140	0	0.5774
141	0	0.6088
142	0	0.5774
143	0	0.5394
144	0	0.4638
146	0	0.5394
147	0	0.5394
148	0	0.5394
149	0	0.5016
150	0	0.5016
151	0	0.5308
152	0	0.5143
153	0	0.4854
154	0	0.4152
155	0	0.3503
156	0	0.4071
157	0	0.4071
159	0	0.3503
160	0	0.3503
161	0	0.3503
162	0	0.3503
163	0	0.3503
164	0	0.3503
166	0	0.3126
167	0	0.3126
168	0	0.3126
169	0	0.3126
170	0	0.3126
171	0	0.2937
172	0	0.2748
174	0	0.3126
175	0	0.3126
176	0	0.2748
177	0	0.2368
178	0	0.2748
179	0	0.2558
181	0	0.1991
182	0	0.1991
183	0	0.1991
184	0	0.1801
185	0	0.1613
186	0	0.1991
187	0	0.1991
188	0	0.1613
189	0	0.1235
190	0	0.1235
191	0	0.1235
192	0	0.1235
193	0	0.1235
195	0	0.1235
196	0	0.1235
197	0	0.1235
198	0	0.1235
199	0	0.1235
200	0	0.1235
201	0	0.1235
202	0	0.1235
203	0	0.1235
204	0	0.1235
205	0	0.1235
206	0	0.1235
207	0	0.1235
208	0	0.1235
209	0	0.1235
210	0	0.1235
211	0	0.1235
212	0	0.1235
213	0	0.1235
214	0	0.1235
215	0	0.1235
216	0	0.1235
217	0	0.1235
218	0	0.1235
220	0	0.1235
221	0	0.1235
222	0	0.1235
223	0	0.1235
224	0	0.1235
225	0	0.1235
227	0	0.1235
228	0	0.1235
230	0	0.1235
231	0	0.1235
232	0	0.1235
233	0	0.1235
234	0	0.1235
235	0	0.1235
236	0	0.1235
237	0	0.1234
238	0	0.123
239	0	0.122
240	0	0.121
241	0	0.12
242	0	0.119
243	0	0.118
244	0	0.117
245	0	0.116
246	0	0.115
247	0	0.114
248	0	0.113
249	0	0.112
250	0	0.111
251	0	0.11
252	0	0.109
253	0	0.108
254	0	0.107
255	0	0.106
256	0	0.105
257	0	0.104
258	0	0.103
259	0	0.102
260	0	0.101
261	0	0.1
262	0	0.099
263	0	0.098
264	0	0.097
265	0	0.096
266	0	0.095
267	0	0.094
268	0	0.093
269	0	0.092
270	0	0.091
271	0	0.09
272	0	0.089
273	0	0.088
274	0	0.087
275	0	0.086
276	0	0.085
277	0	0.084
278	0	0.083
280	0	0.082
281	0	0.081
282	0	0.08
283	0	0.079
284	0	0.078
285	0	0.077
286	0	0.076
287	0	0.075
288	0	0.074
289	0	0.073
290	0	0.072
291	0	0.071
292	0	0.07
293	0	0.069
294	0	0.068
295	0	0.067
296	0	0.066
297	0	0.065
298	0	0.064
299	0	0.063
300	0	0.062
301	0	0.061
302	0	0.06
303	0	0.059
304	0	0.058
305	0	0.057
306	0	0.056
307	0	0.055
308	0	0.054
309	0	0.053
310	0	0.052
311	0	0.051
312	0	0.05
313	0	0.049
314	0	0.048
315	0	0.047
316	0	0.046
317	0	0.045
318	0	0.044
319	0	0.043
320	0	0.042
322	0	0.041
323	0	0.04
324	0	0.039
325	0	0.038
326	0	0.037
327	0	0.036
328	0	0.035
329	0	0.034
330	0	0.033
331	0	0.032
332	0	0.031
333	0	0.03
334	0	0.029
335	0	0.028
336	0	0.027
337	0	0.026
338	0	0.025
339	0	0.024
340	0	0.023
341	0	0.022
342	0	0.021
343	0	0.02
344	0	0.019
345	0	0.018
347	0	0.017
348	0	0.016
349	0	0.015
350	0	0.014
351	0	0.013
352	0	0.012
354	0	0.011
355	0	0.01
356	0	0.009
357	0	0.008
358	0	0.007
359	0	0.006
361	0	0.005
362	0	0.004
363	0	0.003
364	0	0.002
365	0	0.001
366	0	0
367	0	0
368	0	0
369	0	0
370	0	0
372	0	0
373	0	0
374	0	0
375	0	0
376	0	0
377	0	0
378	0	0
379	0	0
380	0	0
381	0	0
382	0	0
383	0	0
384	0	0
385	0	0
386	0	0
387	0	0
388	0	0
389	0	0
390	0	0
391	0	0
392	0	0
393	0	0
394	0	0
395	0	0
396	0	0
397	0	0
398	0	0
399	0	0
400	0	0
401	0	0
402	0	0
403	0	0
404	0	0
405	0	0
406	0	0
407	0	0
408	0	0
409	0	0
410	0	0
411	0	0
412	0	0
413	0	0
414	0	0
415	0	0
416	0	0
417	0	0
418	0	0
420	0	0
421	0	0
422	0	0
423	0	0
424	0	0
425	0	0
426	0	0
427	0	0
428	0	0
429	0	0
430	0	0
431	0	0
432	0	0
433	0	0
434	0	0
435	0	0
436	0	0
437	0	0
438	0	0
439	0	0
441	0	0
442	0	0
443	0	0
444	0	0
445	0	0
446	0	0
447	0	0
448	0	0
449	0	0
450	0	0
451	0	0
452	0	0
453	0	0
454	0	0
455	0	0
456	0	0
457	0	0
458	0	0
459	0	0
461	0	0
462	0	0
463	0	0
464	0	0
465	0	0
466	0	0
467	0	0
468	0	0
469	0	0
471	0	0
472	0	0
473	0	0
474	0	0
475	0	0
476	0	0
477	0	0
478	0	0
479	0	0
480	0	0
481	0	0
482	0	0
483	0	0
484	0	0
485	0	0
486	0	0
487	0	0
488	0	0
489	0	0
490	0	0
491	0	0
492	0	0
493	0	0
494	0	0
495	0	0
496	0	0
497	0	0
498	0	0
499	0	0
500	0	0
501	0	0
502	0	0
503	0	0
504	0	0
505	0	0
506	0	0
507	0	0
508	0	0
509	0	0
510	0	0
511	0	0
512	0	0
513	0	0
514	0	0
515	0	0
516	0	0
517	0	0
518	0	0
519	0	0
520	0	0
521	0	0
522	0	0
523	0	0
525	0	0
526	0	0
527	0	0
528	0	0
529	0	0
530	0	0
531	0	0
532	0	0
534	0	0
535	0	0
536	0	0
537	0	0
538	0	0
539	0	0
541	0	0
542	0	0
543	0	0
544	0	0
545	0	0
546	0	0
547	0	0
548	0	0
549	0	0
550	0	0
552	0	0
553	0	0
554	0	0
555	0	0
556	0	0
558	0	0
559	0	0
560	0	0
561	0	0
562	0	0
563	0	0
564	0	0
565	0	0
566	0	0
567	0	0
568	0	0
569	0	0
570	0	0
571	0	0
572	0	0
573	0	0
574	0	0
575	0	0
576	0	0
577	0	0
578	0	0
579	0	0
580	0	0
581	0	0
582	0	0
583	0	0
584	0	0
585	0	0
586	0	0
587	0	0
588	0	0
590	0	0
591	0	0
592	0	0
593	0	0
594	0	0
595	0	0
596	0	0
597	0	0
598	0	0
599	0	0
600	0	0
601	0	0
602	0	0
603	0	0
604	0	0
605	0	0
606	0	0
607	0	0
608	0	0
609	0	0
610	0	0
611	0	0
612	0	0
613	0	0
614	0	0
615	0	0
616	0	0
617	0	0
619	0	0
620	0	0
621	0	0
622	0	0
623	0	0
624	0	0
625	0	0
627	0	0
628	0	0
629	0	0
630	0	0
631	0	0
632	0	0
634	0	0
635	0	0
636	0	0
637	0	0
638	0	0
639	0	0
640	0	0
641	0	0
642	0	0
643	0	0
645	0	0
646	0	0
647	0	0
648	0	0
649	0	0
651	0	0
652	0	0
653	0	0
654	0	0
655	0	0
656	0	0
657	0	0
658	0	0
659	0	0
660	0	0
662	0	0
663	0	0
664	0	0
665	0	0
666	0	0
667	0	0
668	0	0
669	0	0
670	0	0
672	0	0
673	0	0
674	0	0
675	0	0
676	0	0
677	0	0
678	0	0
679	0	0
680	0	0
681	0	0
682	0	0
683	0	0
684	0	0
685	0	0
686	0	0
687	0	0
688	0	0
689	0	0
690	0	0
691	0	0
692	0	0
693	0	0
694	0	0
695	0	0
696	0	0
697	0	0
698	0	0
699	0	0
700	0	0
701	0	0
702	0	0
703	0	0
704	0	0
705	0	0
706	0	0
707	0	0
708	0	0
709	0	0
711	0	0
712	0	0
713	0	0
714	0	0
715	0	0
716	0	0
718	0	0
719	0	0
721	0	0
722	0	0
723	0	0
724	0	0
725	0	0
726	0	0
727	0	0
729	0	0
730	0	0
732	0	0
733	0	0
734	0	0
735	0	0
737	0	0
738	0	0
740	0	0
741	0	0
742	0	0
743	0	0
744	0	0
745	0	0
746	0	0
747	0	0
748	0	0
749	0	0
750	0	0
751	0	0
752	0	0
753	0	0
754	0	0
755	0	0
756	0	0
757	0	0
758	0	0
759	0	0
761	0	0
762	0	0
764	0	0
765	0	0
766	0	0
767	0	0
768	0	0
769	0	0
770	0	0
771	0	0
772	0	0
773	0	0
774	0	0
776	0	0
777	0	0
778	0	0
779	0	0
780	0	0
781	0	0
782	0	0
784	0	0
785	0	0
786	0	0
787	0	0
789	0	0
790	0	0
791	0	0
792	0	0
793	0	0
794	0	0
795	0	0
796	0	0
797	0	0
798	0	0
799	0	0
800	0	0
801	0	0
802	0	0
803	0	0
804	0	0
805	0	0
806	0	0
807	0	0
808	0	0
809	0	0
810	0	0
811	0	0
812	0	0
813	0	0
814	0	0
815	0	0
816	0	0
817	0	0
818	0	0
819	0	0
820	0	0
821	0	0
822	0	0
823	0	0
824	0	0
825	0	0
826	0	0
827	0	0
828	0	0
829	0	0
830	0	0
831	0	0
832	0	0
833	0	0
834	0	0
836	0	0
837	0	0
838	0	0
839	0	0
840	0	0
842	0	0
844	0	0
845	0	0
846	0	0
847	0	0
848	0	0
849	0	0
850	0	0
851	0	0
852	0	0
853	0	0
855	0	0
856	0	0
857	0	0
858	0	0
859	0	0
860	0	0
861	0	0
862	0	0
863	0	0
864	0	0
865	0	0
867	0	0
868	0	0
869	0	0
870	0	0
871	0	0
872	0	0
873	0	0
874	0	0
875	0	0
877	0	0
878	0	0
879	0	0
880	0	0
881	0	0
882	0	0
883	0	0
884	0	0
885	0	0
886	0	0
887	0	0
888	0	0
890	0	0
891	0	0
892	0	0
893	0	0
894	0	0
895	0	0
897	0	0
898	0	0
899	0	0
901	0	0
902	0	0
903	0	0
905	0	0
906	0	0
907	0	0
908	0	0
909	0	0
910	0	0
911	0	0
912	0	0
913	0	0
914	0	0
915	0	0
916	0	0
918	0	0
919	0	0
920	0	0
921	0	0
922	0	0
923	0	0
925	0	0
926	0	0
927	0	0
928	0	0
929	0	0
930	0	0
931	0	0
932	0	0
933	0	0
934	0	0
935	0	0
936	0	0
937	0	0
938	0	0
939	0	0
940	0	0
941	0	0
942	0	0
943	0	0
944	0	0
945	0	0
946	0	0
947	0	0
949	0	0
950	0	0
951	0	0
952	0	0
953	0	0
954	0	0
955	0	0
956	0	0
958	0	0
959	0	0
960	0	0
961	0	0
962	0	0
963	0	0
964	0	0
966	0	0
967	0	0
968	0	0
969	0	0
970	0	0
971	0	0
972	0	0
973	0	0
974	0	0
975	0	0
976	0	0
977	0	0
978	0	0
979	0	0
980	0	0
981	0	0
982	0	0
983	0	0
984	0	0
986	0	0
987	0	0
988	0	0
989	0	0
990	0	0
991	0	0
992	0	0
993	0	0
994	0	0
996	0	0
997	0	0
998	0	0
999	0	0
1000	0	0
		0
		0
		0
		0
		0
		0
		0
		0
		0
		0
		0
		0
